row_id,clock_type,date_value,timestamp_value,source_id,source_role,source_tier,status,note
source_data_report_date:imperial-mrc-gida-bdbv-2026-05-18,source_data_report_date,2026-05-18,,imperial-mrc-gida-bdbv-2026-05-18,,academic_collab_who,recorded,Data/report date the source says the observation describes.
source_publication_date:imperial-mrc-gida-bdbv-2026-05-18,source_publication_date,2026-05-18,,imperial-mrc-gida-bdbv-2026-05-18,,academic_collab_who,recorded,Date the source made the observation available.
source_retrieval_date:imperial-mrc-gida-bdbv-2026-05-18,source_retrieval_date,2026-05-20,2026-05-20T22:00:00Z,imperial-mrc-gida-bdbv-2026-05-18,,academic_collab_who,recorded,Archive capture timestamp for this source edition.
source_data_report_date:who-pheic-2026-05-17-live,source_data_report_date,2026-05-17,,who-pheic-2026-05-17-live,,official_who,recorded,Data/report date the source says the observation describes.
source_publication_date:who-pheic-2026-05-17-live,source_publication_date,2026-05-17,,who-pheic-2026-05-17-live,,official_who,recorded,Date the source made the observation available.
source_retrieval_date:who-pheic-2026-05-17-live,source_retrieval_date,2026-05-20,2026-05-20T22:00:00Z,who-pheic-2026-05-17-live,,official_who,recorded,Archive capture timestamp for this source edition.
source_data_report_date:who-dg-remarks-bdbv-2026-05-20,source_data_report_date,2026-05-20,,who-dg-remarks-bdbv-2026-05-20,,official_who,recorded,Data/report date the source says the observation describes.
source_publication_date:who-dg-remarks-bdbv-2026-05-20,source_publication_date,2026-05-20,,who-dg-remarks-bdbv-2026-05-20,,official_who,recorded,Date the source made the observation available.
source_retrieval_date:who-dg-remarks-bdbv-2026-05-20,source_retrieval_date,2026-05-21,2026-05-21T00:00:00Z,who-dg-remarks-bdbv-2026-05-20,,official_who,recorded,Archive capture timestamp for this source edition.
source_data_report_date:ecdc-bdbv-drc-uga-2026-05-19-live,source_data_report_date,2026-05-19,,ecdc-bdbv-drc-uga-2026-05-19-live,,regional_body,recorded,Data/report date the source says the observation describes.
source_publication_date:ecdc-bdbv-drc-uga-2026-05-19-live,source_publication_date,2026-05-19,,ecdc-bdbv-drc-uga-2026-05-19-live,,regional_body,recorded,Date the source made the observation available.
source_retrieval_date:ecdc-bdbv-drc-uga-2026-05-19-live,source_retrieval_date,2026-05-21,2026-05-21T00:55:53Z,ecdc-bdbv-drc-uga-2026-05-19-live,,regional_body,recorded,Archive capture timestamp for this source edition.
source_data_report_date:cdc-current-situation-2026-05-20,source_data_report_date,2026-05-19,,cdc-current-situation-2026-05-20,,official_cdc,recorded,Data/report date the source says the observation describes.
source_publication_date:cdc-current-situation-2026-05-20,source_publication_date,2026-05-20,,cdc-current-situation-2026-05-20,,official_cdc,recorded,Date the source made the observation available.
source_retrieval_date:cdc-current-situation-2026-05-20,source_retrieval_date,2026-05-21,2026-05-21T17:11:29Z,cdc-current-situation-2026-05-20,,official_cdc,recorded,Archive capture timestamp for this source edition.
source_data_report_date:afro-sitrep-01-pdf-2026-05-18-live,source_data_report_date,2026-05-18,,afro-sitrep-01-pdf-2026-05-18-live,,official_who_afro,recorded,Data/report date the source says the observation describes.
source_publication_date:afro-sitrep-01-pdf-2026-05-18-live,source_publication_date,2026-05-18,,afro-sitrep-01-pdf-2026-05-18-live,,official_who_afro,recorded,Date the source made the observation available.
source_retrieval_date:afro-sitrep-01-pdf-2026-05-18-live,source_retrieval_date,2026-05-21,2026-05-21T18:30:00Z,afro-sitrep-01-pdf-2026-05-18-live,,official_who_afro,recorded,Archive capture timestamp for this source edition.
source_data_report_date:imperial-mrc-gida-bdbv-2026-05-18-pdf-live,source_data_report_date,2026-05-18,,imperial-mrc-gida-bdbv-2026-05-18-pdf-live,,academic_collab_who,recorded,Data/report date the source says the observation describes.
source_publication_date:imperial-mrc-gida-bdbv-2026-05-18-pdf-live,source_publication_date,2026-05-18,,imperial-mrc-gida-bdbv-2026-05-18-pdf-live,,academic_collab_who,recorded,Date the source made the observation available.
source_retrieval_date:imperial-mrc-gida-bdbv-2026-05-18-pdf-live,source_retrieval_date,2026-05-21,2026-05-21T18:30:00Z,imperial-mrc-gida-bdbv-2026-05-18-pdf-live,,academic_collab_who,recorded,Archive capture timestamp for this source edition.
source_data_report_date:imperial-mrc-gida-bdbv-2026-05-20-live,source_data_report_date,2026-05-20,,imperial-mrc-gida-bdbv-2026-05-20-live,,academic_collab_who,recorded,Data/report date the source says the observation describes.
source_publication_date:imperial-mrc-gida-bdbv-2026-05-20-live,source_publication_date,2026-05-20,,imperial-mrc-gida-bdbv-2026-05-20-live,,academic_collab_who,recorded,Date the source made the observation available.
source_retrieval_date:imperial-mrc-gida-bdbv-2026-05-20-live,source_retrieval_date,2026-05-21,2026-05-21T18:30:00Z,imperial-mrc-gida-bdbv-2026-05-20-live,,academic_collab_who,recorded,Archive capture timestamp for this source edition.
source_data_report_date:cdc-current-situation-2026-05-21,source_data_report_date,2026-05-21,,cdc-current-situation-2026-05-21,,official_cdc,recorded,Data/report date the source says the observation describes.
source_publication_date:cdc-current-situation-2026-05-21,source_publication_date,2026-05-21,,cdc-current-situation-2026-05-21,,official_cdc,recorded,Date the source made the observation available.
source_retrieval_date:cdc-current-situation-2026-05-21,source_retrieval_date,2026-05-21,2026-05-21T23:00:04Z,cdc-current-situation-2026-05-21,,official_cdc,recorded,Archive capture timestamp for this source edition.
source_data_report_date:cdc-returning-travelers-info-2026-05-21-live,source_data_report_date,2026-05-21,,cdc-returning-travelers-info-2026-05-21-live,context_only,official_cdc,recorded,Data/report date the source says the observation describes.
source_publication_date:cdc-returning-travelers-info-2026-05-21-live,source_publication_date,2026-05-21,,cdc-returning-travelers-info-2026-05-21-live,context_only,official_cdc,recorded,Date the source made the observation available.
source_retrieval_date:cdc-returning-travelers-info-2026-05-21-live,source_retrieval_date,2026-05-22,2026-05-22T04:35:00Z,cdc-returning-travelers-info-2026-05-21-live,context_only,official_cdc,recorded,Archive capture timestamp for this source edition.
source_data_report_date:cdc-traveler-management-guidance-2026-05-21-pdf,source_data_report_date,2026-05-21,,cdc-traveler-management-guidance-2026-05-21-pdf,context_only,official_cdc,recorded,Data/report date the source says the observation describes.
source_publication_date:cdc-traveler-management-guidance-2026-05-21-pdf,source_publication_date,2026-05-21,,cdc-traveler-management-guidance-2026-05-21-pdf,context_only,official_cdc,recorded,Date the source made the observation available.
source_retrieval_date:cdc-traveler-management-guidance-2026-05-21-pdf,source_retrieval_date,2026-05-22,2026-05-22T04:35:00Z,cdc-traveler-management-guidance-2026-05-21-pdf,context_only,official_cdc,recorded,Archive capture timestamp for this source edition.
